id;saldo;limite_negativo;valor_congelado;numero_conta;ativa;moeda_carteira_id;usuario_id
1;22461.12;17209.08;6290.63;wherever;true;1;1
2;16876.3;11507.32;2422.48;after pro;true;2;2
3;18816.42;8047.42;17682.01;vainly;true;3;2
4;16441.84;24262.74;8406.24;decode whenever broa;false;4;1
5;535.28;7424.05;20369.8;bitter;true;5;1
6;9425.25;4461.71;32220.53;circa;true;6;2
7;23605.05;8854.97;19488.68;aha costume sticker;false;7;1
8;10976.8;28613.71;10783.62;patiently;false;8;1
9;17157.3;11156.99;27142.08;meanwhile;true;9;1
10;15374.05;5336.53;22400.14;chunder;false;10;1
