id;nome;chave_acesso;chave_api;url_retorno;url_pagamento_aprovado;url_pagamento_cancelado;url_pagamento_rejeitado;tipo;situacao;data_inicio;data_fim;desconto;tipo_desconto;valor_minimo_pagamento;identificador_externo;numero_referencia;ativo;bloqueado;usuario_id;moeda_carteira_id
1;descendant beside suddenly;however aha ignite;er mostly popularity;near so hmph;rust react promptly;vulgarise nimble;phooey;RECORRENTE;EXPIRADO;2026-03-28T05:24:35;2026-03-28T11:07:25;2909.05;PERCENTUAL;3203.1;boohoo;considering wrongly;true;false;1;1
2;outsource or;deceivingly ick unlike;about;beside;sharply;who;mid petty;UNICO;ATIVO;2026-03-28T16:37:00;2026-03-28T11:45:54;28955.59;PERCENTUAL;11871.61;gadzooks drat;lend regularly;true;true;2;2
3;shaft;nor;until however;officially;excitedly availability profane;furthermore;ah unless given;RECORRENTE;INATIVO;2026-03-28T00:34:54;2026-03-28T02:44:48;24185.16;PERCENTUAL;14896.34;doodle;mmm;true;true;2;3
4;versus;low round qua;but topsail elver;plus glimmer crossly;atop witty;lasting;brightly whenever;UNICO;BLOQUEADO;2026-03-28T16:50:31;2026-03-28T09:03:38;13264.45;PERCENTUAL;27765.19;cruelty times;ecstatic;false;false;2;4
5;dash since;cross via unlike;deduce;repeatedly;reproach versus because;an valiantly frenetically;the zowie;DOACAO;ATIVO;2026-03-27T22:50:14;2026-03-28T02:36:19;17649.31;FIXO;26474.76;lamp;plagiarise ham afore;true;false;2;5
6;shush gadzooks;knottily aha barring;forenenst yet;hotfoot;opposite;eek that;deafening;DOACAO;ATIVO;2026-03-27T20:29:11;2026-03-28T13:17:10;21779.85;PERCENTUAL;28008.66;pleasure;amid aw alarmed;true;false;2;6
7;joy aboard blah;starboard hence;blah challenge secret;promise antelope;selfishly informal without;casket gadzooks majestically;persecute edge;UNICO;ATIVO;2026-03-27T22:01:20;2026-03-28T16:24:19;1013.97;PERCENTUAL;5519.54;oddly for usefully;nautical rationale;false;false;1;7
8;lest;um even versus;brr lighthearted;yuck edge;phooey yet;paltry;whoever;DOACAO;ATIVO;2026-03-28T14:29:56;2026-03-27T22:40:10;7922.87;PERCENTUAL;9460.53;ick;towards;true;true;1;8
9;phew notwithstanding;intensely stingy during;when among;midst dock doorpost;pharmacopoeia than;jumbo frenetically hippodrome;rigidly ha;RECORRENTE;EXPIRADO;2026-03-28T15:36:02;2026-03-28T16:20:20;19522.92;FIXO;26865.18;wherever even factorise;bare bare;true;false;1;9
10;boulevard at;satirize pfft;likely;the wherever;minus sting hm;out;frizz tennis;UNICO;EXPIRADO;2026-03-28T03:24:38;2026-03-27T21:59:52;7270.43;FIXO;29197.94;furthermore super;beside;true;true;2;10
