id;nome_titular;numero_conta;agencia;nome_banco;codigo_banco;ispb;swift;tipo_conta;ativa;usuario_id
1;provided except;supposing;oh;qua essay;greedily;in;boo;PAGAMENTO;false;1
2;youthfully without;before into;gladly thi;clamor perspire viciously;lest aboar;scoff dr;sneaky;SALARIO;true;2
3;fax;monthly qua;surprised ;daintily hence right;lace huzza;wisely p;quietly inject opera;CORRENTE;true;2
4;athwart worth;why pish times;minus;fooey hover;verbally;boulevar;general oof;POUPANCA;true;2
5;phooey corny;um unlawful yahoo;instantly ;gastropod ew;below inci;steel to;as famously insecure;SALARIO;true;1
6;why closely;glisten;fatal hose;buttery enormously ramp;moralise;why;across;PAGAMENTO;false;2
7;pro without after;upset awkwardly marathon;oof oh qua;celebrated unto oh;apropos ga;putrid t;freight tiny hmph;POUPANCA;false;1
8;aboard;more;yearly pot;hamburger;chapel eek;huzzah p;whenever cappelletti;SALARIO;true;2
9;word kookily beside;after drat;only zowie;atop beside;amid;crest ab;aside drive;POUPANCA;false;2
10;urban;gadzooks politely towards;dismal;obediently;whereas wo;whose;knight;SALARIO;true;2
