id;cep;logradouro;numero;complemento;bairro;cidade;estado;tipo_endereco;principal;latitude;longitude
1;understa;yahoo without;cross bitterly if;because;whether;french;de;RESIDENCIAL;false;4094.39;13193.94
2;service ;phooey;of;yum;athwart because what;ha aw;se;RESIDENCIAL;true;23186.05;31683.95
3;exonerat;prickly now;verify;since sun;insignificant;yet scientific provided;re;RESIDENCIAL;true;16385.78;9231.25
4;meh;sedately;house defenseless;consequently bah zowie;under lanky for;broadcast till;di;CORRESPONDENCIA;true;6353.44;28722.16
5;pish brr;pointless drat esteemed;cycle hundred;quicker so;awkwardly yum submissive;um;nu;COMERCIAL;true;21628.03;5460.88
6;bore;meh;upright;ripe;season knottily;vice;ut;CORRESPONDENCIA;true;1216.39;11572.55
7;wasabi u;emergent verbally brochure;obligation below pot;dirty;mortise cap;unless;ex;CORRESPONDENCIA;true;23473.49;14264.97
8;before;round;density;disbar chainstay;offensively sand bog;ew boulevard healthily;ki;CORRESPONDENCIA;true;5342.87;19924.17
9;general ;mealy why;behind;arbitrate glum soon;issue;dredger athwart;yi;RESIDENCIAL;true;15231.7;20787.87
10;obedient;whenever classic;hence and;cardboard lend drat;however necklace ack;greedily anaesthetise primary;pi;CORRESPONDENCIA;true;16148.18;4366.93
